video,start_frame,end_frame
05_train,330,419
05_train,688,799
05_train,980,1129
05_train,1414,1523
05_train,1702,1839
05_train,2146,2269
05_train,2546,2665
05_train,2968,3123
05_train,3508,3625
05_train,3892,4023
05_train,4394,4485
05_train,4828,4955
05_train,5010,5033
05_train,5352,5523
05_train,5578,5605
05_train,5846,5967
05_train,6218,6335
05_train,6716,6831
05_train,7100,7191
07_train,372,511
07_train,812,901
07_train,1134,1259
07_train,1556,1685
07_train,1820,1997
07_train,2412,2535
07_train,2954,3085
07_train,3268,3429
07_train,3690,3853
07_train,4368,4435
07_train,4626,4757
07_train,5102,5295
07_train,5566,5719
07_train,5986,6171
07_train,6692,6767
07_train,6996,7101
07_train,7456,7559
07_train,7766,7949
07_train,8292,8315
07_train,8332,8569
07_train,9174,9327
07_train,9782,9919
07_train,10374,10525
07_train,11010,11173
07_train,11688,11819
07_train,12214,12401
08_train,236,341
08_train,638,719
08_train,886,1011
08_train,1384,1475
08_train,1666,1789
08_train,2294,2387
08_train,2754,2921
08_train,3280,3363
08_train,3484,3605
08_train,3924,4049
08_train,4376,4507
08_train,4986,5067
08_train,5334,5415
08_train,5724,5805
12_train,62,127
12_train,272,403
12_train,642,651
12_train,778,887
12_train,944,967
12_train,1050,1137
12_train,1238,1401
12_train,1542,1647
12_train,1746,1851
12_train,2064,2171
12_train,2368,2533
12_train,2724,2803
12_train,2872,2963
12_train,3202,3365
12_train,3580,3667
12_train,3880,3965
12_train,4092,4173
12_train,4278,4407
12_train,4616,4757
14_train,362,469
14_train,656,749
14_train,810,821
14_train,1008,1115
14_train,1426,1499
14_train,1696,1763
14_train,2036,2131
14_train,2332,2477
14_train,2746,2759
14_train,2878,2991
14_train,3412,3501
14_train,3860,3987
14_train,4490,4609
14_train,4952,5079
14_train,5438,5583
14_train,5974,6117
14_train,6552,6649
14_train,6958,7073
14_train,7304,7383
14_train,7602,7691
14_train,7780,7805
14_train,8006,8101
14_train,8390,8525
