frame,timestamp,track_id,hip_center_x,hip_center_y,scale_factor,confidence,is_valid,nose_norm_x,nose_norm_y,nose_conf,left_eye_norm_x,left_eye_norm_y,left_eye_conf,right_eye_norm_x,right_eye_norm_y,right_eye_conf,left_ear_norm_x,left_ear_norm_y,left_ear_conf,right_ear_norm_x,right_ear_norm_y,right_ear_conf,left_shoulder_norm_x,left_shoulder_norm_y,left_shoulder_conf,right_shoulder_norm_x,right_shoulder_norm_y,right_shoulder_conf,left_elbow_norm_x,left_elbow_norm_y,left_elbow_conf,right_elbow_norm_x,right_elbow_norm_y,right_elbow_conf,left_wrist_norm_x,left_wrist_norm_y,left_wrist_conf,right_wrist_norm_x,right_wrist_norm_y,right_wrist_conf,left_hip_norm_x,left_hip_norm_y,left_hip_conf,right_hip_norm_x,right_hip_norm_y,right_hip_conf,left_knee_norm_x,left_knee_norm_y,left_knee_conf,right_knee_norm_x,right_knee_norm_y,right_knee_conf,left_ankle_norm_x,left_ankle_norm_y,left_ankle_conf,right_ankle_norm_x,right_ankle_norm_y,right_ankle_conf
1,0.03478937728937729,1,436.852783203125,453.8162536621094,144.77733886982963,0.879319965839386,True,0.2398587,-1.134787,0.9629845,0.26769495,-1.2032171,0.68876785,0.19482642,-1.2112203,0.95649624,0.0,0.0,0.20253661,0.01643085,-1.2914002,0.9150955,0.25964448,-1.0164117,0.98262376,-0.30984765,-0.9829583,0.998162,0.31391674,-0.64230967,0.9125155,-0.4940956,-0.40635142,0.994898,0.48023638,-0.31266633,0.91744864,-0.22733569,0.064843565,0.9887488,0.19294766,-0.01657229,0.99736834,-0.19294786,0.01657229,0.9990846,0.3061894,0.7659819,0.99432546,-0.15300068,0.8111103,0.99790883,0.31795123,1.4644581,0.98009837,-0.13951477,1.5114373,0.9891878
1,0.03478937728937729,2,1668.561279296875,436.50775146484375,155.78743836843884,0.8222032189369202,True,0.343571,-1.3193463,0.7729584,0.0,0.0,0.19260468,0.30191174,-1.3821406,0.8525187,0.0,0.0,0.053267527,0.102327146,-1.3525815,0.91933405,0.021178322,-0.99648905,0.8779265,-0.019091675,-1.0035096,0.9903453,0.11380096,-0.59762996,0.5254333,0.1875576,-0.5660447,0.97852874,0.38551235,-0.49738458,0.536159,0.4122031,-0.43847343,0.94463265,0.0137626175,-0.005183509,0.9718674,-0.013761834,0.005183705,0.9925982,0.045593567,0.7346816,0.9573739,0.03548317,0.7578682,0.9879435,-0.15348093,1.4423946,0.9141096,-0.16695754,1.4941311,0.9579517
1,0.03478937728937729,3,1215.32080078125,440.91082763671875,86.78571664013637,0.7812694907188416,True,-0.3696934,-1.1862025,0.92409414,-0.31686258,-1.279481,0.88117766,-0.41441113,-1.2664671,0.67285335,-0.11011063,-1.3283267,0.84055316,-0.3904375,-1.283461,0.36154658,0.25739273,-1.0282016,0.9969591,-0.39111266,-0.9673231,0.98312795,0.4239941,-0.46900544,0.9917216,-0.44453284,-0.39863008,0.91887265,0.3095048,0.021912977,0.9803224,-0.5071731,0.049886517,0.89337623,0.25793847,-0.0071007246,0.9986066,-0.25793988,0.007101076,0.9963158,0.4896022,0.68967223,0.9961857,-0.65324694,0.7367917,0.99058425,0.6731162,1.6636976,0.9824905,-0.8500193,1.711578,0.9696703
1,0.03478937728937729,4,1820.203857421875,439.80804443359375,63.26197522707042,0.7135026454925537,True,0.05880842,-1.4896764,0.9574643,0.13785449,-1.585099,0.92174107,-0.03493541,-1.5768403,0.92628324,0.27624154,-1.5068759,0.72783667,-0.19609946,-1.4868143,0.73937976,0.49971238,-1.0076284,0.9930102,-0.42148253,-0.990841,0.99424756,0.61701083,-0.38644245,0.92151845,-0.6734922,-0.38658282,0.9339161,0.30270988,-0.20773785,0.86845857,-0.3512509,-0.2400379,0.8790132,0.30834043,-0.0038809082,0.98508483,-0.30833852,0.0038804258,0.9860983,0.54904646,0.07396543,0.9610799,-0.40555754,0.07817003,0.96197593,0.42041162,1.0044066,0.92718774,-0.4887349,1.0132678,0.9277972
2,0.06957875457875458,1,435.9879150390625,454.1561279296875,145.01703986611764,0.87496018409729,True,0.24844408,-1.1302884,0.9520914,0.27430817,-1.1970035,0.63240653,0.20715213,-1.2056968,0.9447454,0.0,0.0,0.18700343,0.036810398,-1.2861966,0.90559703,0.27839515,-1.0121381,0.97982806,-0.30176297,-0.9877253,0.99794585,0.33512846,-0.6150939,0.90271926,-0.4889602,-0.4138922,0.99456936,0.4876096,-0.25896215,0.9074809,-0.23270497,0.0660468,0.98773426,0.19627336,-0.01446742,0.9972217,-0.19627336,0.01446742,0.9990557,0.3185379,0.7662606,0.9940931,-0.15305397,0.8079659,0.9978752,0.32575518,1.4641951,0.9798564,-0.13307089,1.5089451,0.989247
2,0.06957875457875458,2,1668.8326416015625,436.3887939453125,155.46195255793677,0.8232321739196777,True,0.34389067,-1.3219889,0.7643484,0.0,0.0,0.18435755,0.30229416,-1.384863,0.8482372,0.0,0.0,0.052819878,0.10294891,-1.3539165,0.92138773,0.015189892,-0.9970774,0.87766105,-0.015830623,-1.0029225,0.9904338,0.10848464,-0.5985051,0.5182827,0.19529042,-0.56349534,0.9783594,0.3822851,-0.5010705,0.52482796,0.42255458,-0.43702072,0.9431146,0.010903429,-0.0054285508,0.9719743,-0.010903429,0.0054283543,0.9926803,0.04462664,0.7366414,0.95775664,0.03630184,0.7605287,0.9881451,-0.15515283,1.4462508,0.9156005,-0.17148677,1.4994618,0.9588734
2,0.06957875457875458,3,1209.176513671875,439.82513427734375,83.55548745405949,0.7940530180931091,True,-0.37059894,-1.2266552,0.857663,-0.32128754,-1.3151416,0.86472046,-0.4083674,-1.3038754,0.586657,-0.11082029,-1.3365178,0.79545414,0.0,0.0,0.21204606,0.19345011,-1.0240515,0.9937372,-0.4129957,-0.9638615,0.9804442,0.50687337,-0.48219755,0.98449475,-0.38601488,-0.3836025,0.87134486,0.29065436,0.030100299,0.9674301,-0.47892687,0.09035788,0.84536034,0.24278052,-0.008063343,0.99725264,-0.24277906,0.008063343,0.9944957,0.5316218,0.79610914,0.9951999,-0.63250476,0.8172209,0.9884453,0.85335207,1.7385031,0.9859169,-0.79106885,1.750957,0.97380143
2,0.06957875457875458,4,1820.0673828125,439.28778076171875,63.05435038131323,0.7010180950164795,True,0.054948177,-1.4839303,0.95494944,0.13228567,-1.5784892,0.91683364,-0.034750372,-1.5708039,0.921045,0.27490932,-1.5010563,0.72322243,-0.18680987,-1.4825617,0.73156685,0.5040643,-1.0066462,0.99307173,-0.40962267,-0.9911232,0.99434066,0.61879665,-0.38494748,0.92448276,-0.65116197,-0.38097492,0.93731034,0.3077276,-0.18549293,0.8727278,-0.30393702,-0.20470679,0.8841525,0.30700743,-0.0033496842,0.98600847,-0.3070055,0.0033501682,0.9870143,0.56707764,0.07779195,0.96300834,-0.39972606,0.0816445,0.9641021,0.43115628,1.0066549,0.929589,-0.4995361,1.0154712,0.9305554
3,0.10436813186813187,1,435.79229736328125,453.30230712890625,143.61577764095514,0.875135064125061,True,0.24540406,-1.1423236,0.9582113,0.27392808,-1.2093168,0.6687501,0.2027666,-1.219089,0.9504301,0.0,0.0,0.20466428,0.030395865,-1.296657,0.90882456,0.27766055,-1.0111116,0.9819932,-0.30576953,-0.98869085,0.9980599,0.33546078,-0.6197713,0.91067195,-0.4971781,-0.4108339,0.9946525,0.48325354,-0.2896941,0.9147533,-0.23136689,0.06274753,0.9881076,0.1975201,-0.0139341215,0.9973616,-0.19752033,0.0139341215,0.9990752,0.31671238,0.7756508,0.9943674,-0.15662447,0.8131425,0.997912,0.33113715,1.4853318,0.9804432,-0.13707432,1.5249152,0.98936415
3,0.10436813186813187,2,1669.072265625,436.7887268066406,156.01413347799692,0.820763349533081,True,0.34331277,-1.3203338,0.76277715,0.0,0.0,0.18281364,0.3017923,-1.3825542,0.8473876,0.0,0.0,0.05196761,0.1016292,-1.3516196,0.92074406,0.014546176,-0.9995853,0.8757886,-0.020016935,-1.0004072,0.99023134,0.106363684,-0.6054571,0.5165452,0.19158217,-0.56248444,0.97807306,0.37843376,-0.5099323,0.5232928,0.41931188,-0.44568038,0.9425901,0.012304512,-0.0066725723,0.9711874,-0.01230373,0.0066725723,0.9924481,0.048223577,0.73046964,0.95618093,0.035743017,0.75834495,0.9876489,-0.1538369,1.4341029,0.9124483,-0.17076793,1.4896743,0.95714736
