frame,timestamp,track_id,hip_center_x,hip_center_y,scale_factor,confidence,is_valid,nose_norm_x,nose_norm_y,nose_conf,left_eye_norm_x,left_eye_norm_y,left_eye_conf,right_eye_norm_x,right_eye_norm_y,right_eye_conf,left_ear_norm_x,left_ear_norm_y,left_ear_conf,right_ear_norm_x,right_ear_norm_y,right_ear_conf,left_shoulder_norm_x,left_shoulder_norm_y,left_shoulder_conf,right_shoulder_norm_x,right_shoulder_norm_y,right_shoulder_conf,left_elbow_norm_x,left_elbow_norm_y,left_elbow_conf,right_elbow_norm_x,right_elbow_norm_y,right_elbow_conf,left_wrist_norm_x,left_wrist_norm_y,left_wrist_conf,right_wrist_norm_x,right_wrist_norm_y,right_wrist_conf,left_hip_norm_x,left_hip_norm_y,left_hip_conf,right_hip_norm_x,right_hip_norm_y,right_hip_conf,left_knee_norm_x,left_knee_norm_y,left_knee_conf,right_knee_norm_x,right_knee_norm_y,right_knee_conf,left_ankle_norm_x,left_ankle_norm_y,left_ankle_conf,right_ankle_norm_x,right_ankle_norm_y,right_ankle_conf
1,0.0347893772893772,1,436.852783203125,453.8162536621094,144.77733886982963,0.879319965839386,True,0.2398587,-1.134787,0.9629845,0.26769495,-1.2032171,0.68876785,0.19482642,-1.2112203,0.95649624,0.0,0.0,0.20253661,0.01643085,-1.2914002,0.9150955,0.25964448,-1.0164117,0.98262376,-0.30984765,-0.9829583,0.998162,0.31391674,-0.64230967,0.9125155,-0.4940956,-0.40635142,0.994898,0.48023638,-0.31266633,0.91744864,-0.22733569,0.064843565,0.9887488,0.19294766,-0.01657229,0.99736834,-0.19294786,0.01657229,0.9990846,0.3061894,0.7659819,0.99432546,-0.15300068,0.8111103,0.99790883,0.31795123,1.4644581,0.98009837,-0.13951477,1.5114373,0.9891878
1,0.0347893772893772,3,1215.32080078125,440.9108276367187,86.78571664013637,0.7812694907188416,True,-0.3696934,-1.1862025,0.92409414,-0.31686258,-1.279481,0.88117766,-0.41441113,-1.2664671,0.67285335,-0.11011063,-1.3283267,0.84055316,-0.3904375,-1.283461,0.36154658,0.25739273,-1.0282016,0.9969591,-0.39111266,-0.9673231,0.98312795,0.4239941,-0.46900544,0.9917216,-0.44453284,-0.39863008,0.91887265,0.3095048,0.021912977,0.9803224,-0.5071731,0.049886517,0.89337623,0.25793847,-0.0071007246,0.9986066,-0.25793988,0.007101076,0.9963158,0.4896022,0.68967223,0.9961857,-0.65324694,0.7367917,0.99058425,0.6731162,1.6636976,0.9824905,-0.8500193,1.711578,0.9696703
2,0.0695787545787545,1,435.9879150390625,454.1561279296875,145.01703986611764,0.87496018409729,True,0.24844408,-1.1302884,0.9520914,0.27430817,-1.1970035,0.63240653,0.20715213,-1.2056968,0.9447454,0.0,0.0,0.18700343,0.036810398,-1.2861966,0.90559703,0.27839515,-1.0121381,0.97982806,-0.30176297,-0.9877253,0.99794585,0.33512846,-0.6150939,0.90271926,-0.4889602,-0.4138922,0.99456936,0.4876096,-0.25896215,0.9074809,-0.23270497,0.0660468,0.98773426,0.19627336,-0.01446742,0.9972217,-0.19627336,0.01446742,0.9990557,0.3185379,0.7662606,0.9940931,-0.15305397,0.8079659,0.9978752,0.32575518,1.4641951,0.9798564,-0.13307089,1.5089451,0.989247
2,0.0695787545787545,3,1209.176513671875,439.82513427734375,83.55548745405949,0.7940530180931091,True,-0.37059894,-1.2266552,0.857663,-0.32128754,-1.3151416,0.86472046,-0.4083674,-1.3038754,0.586657,-0.11082029,-1.3365178,0.79545414,0.0,0.0,0.21204606,0.19345011,-1.0240515,0.9937372,-0.4129957,-0.9638615,0.9804442,0.50687337,-0.48219755,0.98449475,-0.38601488,-0.3836025,0.87134486,0.29065436,0.030100299,0.9674301,-0.47892687,0.09035788,0.84536034,0.24278052,-0.008063343,0.99725264,-0.24277906,0.008063343,0.9944957,0.5316218,0.79610914,0.9951999,-0.63250476,0.8172209,0.9884453,0.85335207,1.7385031,0.9859169,-0.79106885,1.750957,0.97380143
3,0.1043681318681318,1,435.7922973632813,453.30230712890625,143.61577764095514,0.875135064125061,True,0.24540406,-1.1423236,0.9582113,0.27392808,-1.2093168,0.6687501,0.2027666,-1.219089,0.9504301,0.0,0.0,0.20466428,0.030395865,-1.296657,0.90882456,0.27766055,-1.0111116,0.9819932,-0.30576953,-0.98869085,0.9980599,0.33546078,-0.6197713,0.91067195,-0.4971781,-0.4108339,0.9946525,0.48325354,-0.2896941,0.9147533,-0.23136689,0.06274753,0.9881076,0.1975201,-0.0139341215,0.9973616,-0.19752033,0.0139341215,0.9990752,0.31671238,0.7756508,0.9943674,-0.15662447,0.8131425,0.997912,0.33113715,1.4853318,0.9804432,-0.13707432,1.5249152,0.98936415
3,0.1043681318681318,3,1202.9488525390625,439.1470642089844,79.5571000635684,0.8012848496437073,True,-0.28320086,-1.2104753,0.8588662,-0.2363856,-1.3040768,0.8414024,-0.34280515,-1.2894883,0.67405903,-0.069168024,-1.3286421,0.7149685,-0.43321964,-1.2901933,0.33113554,0.21073394,-1.0222722,0.99374723,-0.47166643,-0.96063334,0.98593104,0.5071365,-0.43418208,0.9831818,-0.4830484,-0.35186255,0.91782826,0.24359101,0.14093989,0.9656304,-0.5244351,0.13493933,0.8887755,0.27162862,-0.012526242,0.99758255,-0.27162862,0.012526242,0.9959144,0.6385802,0.83576024,0.9952726,-0.65790105,0.8671831,0.99060714,0.9910412,1.8538367,0.9854396,-0.79699814,1.8756946,0.9762725
4,0.1391575091575091,1,436.6769409179687,455.2060546875,145.200106774885,0.8741534352302551,True,0.23031843,-1.1485907,0.96312726,0.26119897,-1.2160164,0.7021463,0.18546078,-1.225434,0.95606357,0.0,0.0,0.22104867,0.014202223,-1.301034,0.9126109,0.26903012,-1.011178,0.9826431,-0.30951905,-0.9884119,0.99810827,0.32566246,-0.62531483,0.90936595,-0.4960904,-0.4180262,0.99448293,0.47010362,-0.30095354,0.9126922,-0.22875094,0.04920031,0.9876744,0.19574091,-0.0138291605,0.99724627,-0.1957407,0.013828951,0.9990295,0.30968615,0.7638502,0.99412376,-0.157095,0.799776,0.99781126,0.32457396,1.4570194,0.9799054,-0.1384547,1.4945682,0.9890487
4,0.1391575091575091,3,1201.3084716796875,437.913818359375,77.77913277274918,0.8100267648696899,True,-0.32352918,-1.1662891,0.8097189,-0.27811718,-1.2610248,0.80068433,-0.3783955,-1.2470281,0.5788597,-0.10038818,-1.3004117,0.69276977,0.0,0.0,0.26317474,0.19842847,-1.0203587,0.99264693,-0.5036814,-0.956209,0.98107255,0.46157467,-0.42879283,0.98383796,-0.5167502,-0.3187875,0.9029764,0.20092075,0.14442454,0.9671543,-0.48697463,0.19405362,0.8768368,0.28034267,-0.013897071,0.99768186,-0.28034267,0.013897071,0.9957911,0.67723256,0.87188727,0.9958383,-0.6483845,0.90599453,0.99107856,1.0427476,1.9096754,0.98729557,-0.7726189,1.9339509,0.97811174
5,0.1739468864468864,1,437.1784057617187,454.68060302734375,144.57702421699784,0.8739439845085144,True,0.21852918,-1.1530018,0.96872854,0.25240338,-1.2213826,0.7417298,0.17125995,-1.2312613,0.96196026,0.0,0.0,0.24319091,-0.00085910293,-1.3071694,0.9160266,0.26666048,-1.0103506,0.98395294,-0.31630862,-0.98903286,0.9981862,0.3262841,-0.62253743,0.91234124,-0.49585646,-0.4196072,0.99440867,0.46954513,-0.3051677,0.9152946,-0.2199886,0.036757786,0.9876109,0.19714344,-0.013475884,0.99723876,-0.19714323,0.013475673,0.999008,0.30587864,0.7664553,0.994162,-0.16208655,0.8005961,0.99778557,0.3252268,1.469063,0.9800964,-0.13952866,1.5029294,0.98904234
5,0.1739468864468864,3,1199.1192626953125,438.713623046875,75.9902965429607,0.811205267906189,True,-0.42707413,-1.1822422,0.8920114,-0.37471536,-1.2825811,0.90130025,-0.48600307,-1.2637429,0.6809895,-0.16862312,-1.3205574,0.8313668,0.0,0.0,0.28033987,0.15620731,-1.0230116,0.99567175,-0.5397096,-0.9398759,0.98516995,0.419047,-0.40820345,0.98734516,-0.5215461,-0.2894733,0.877591,0.04918777,0.171862,0.97158754,-0.53587836,0.2070099,0.84987587,0.2827606,-0.017346237,0.9976955,-0.2827606,0.017345836,0.9951556,0.70110077,0.8799133,0.99581003,-0.67393506,0.9182422,0.9893272,1.1171149,1.9270834,0.9873668,-0.76722956,1.955584,0.97535986
