track_id,frame,timestamp,role,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0,0.000,other,0.847,399,195,565,725,0.00,0.00,0.238,0.00,0.00,0.032,0.00,0.00,0.293,0.00,0.00,0.170,482.19,243.56,0.938,410.73,302.82,0.967,495.83,296.25,0.996,415.30,385.05,0.659,509.58,378.27,0.977,0.00,0.00,0.435,546.57,404.06,0.884,434.55,446.55,0.995,493.30,448.17,0.998,457.89,558.17,0.992,522.02,557.64,0.997,461.03,662.07,0.981,492.20,667.16,0.990
2,0,0.000,near_player,0.816,93,328,280,584,0.00,0.00,0.140,0.00,0.00,0.176,0.00,0.00,0.029,127.21,356.78,0.794,0.00,0.00,0.137,139.57,372.82,0.980,178.27,364.45,0.933,134.32,412.34,0.920,179.99,405.59,0.520,120.74,431.02,0.785,0.00,0.00,0.399,180.48,434.23,0.994,212.60,431.05,0.987,148.85,495.91,0.993,230.05,492.73,0.983,146.43,562.65,0.990,261.38,554.18,0.981
3,0,0.000,other,0.810,1613,185,1760,711,1721.50,252.67,0.781,0.00,0.00,0.218,1717.68,240.70,0.840,0.00,0.00,0.075,1693.85,236.11,0.913,1667.11,283.52,0.904,1665.27,284.88,0.992,1667.14,353.69,0.586,1665.74,368.51,0.981,1718.80,332.82,0.580,1718.06,347.56,0.949,1661.16,437.11,0.974,1660.69,441.36,0.993,1671.94,546.19,0.957,1677.26,553.35,0.987,1639.37,654.14,0.909,1640.65,663.81,0.954
4,0,0.000,other,0.809,1138,248,1268,631,1167.14,301.39,0.649,1169.35,292.09,0.743,0.00,0.00,0.131,1184.43,286.19,0.929,0.00,0.00,0.124,1206.41,317.79,0.998,1217.83,314.98,0.895,1209.47,380.23,0.996,0.00,0.00,0.452,1172.60,399.63,0.982,0.00,0.00,0.460,1223.57,429.94,0.998,1231.91,428.65,0.985,1218.38,515.46,0.996,1225.47,514.28,0.967,1237.33,602.00,0.979,1238.99,595.70,0.920
5,0,0.000,other,0.605,1753,313,1872,523,1829.59,345.43,0.948,1834.24,340.36,0.882,1824.45,339.29,0.946,0.00,0.00,0.478,1814.89,339.02,0.862,1846.50,365.55,0.994,1796.48,360.72,0.997,1855.04,402.68,0.915,1776.59,396.78,0.975,1843.20,416.30,0.867,1788.50,414.29,0.948,1836.43,425.70,0.992,1800.30,424.15,0.994,1850.56,438.99,0.978,1780.87,438.59,0.985,1850.91,504.70,0.953,1773.65,503.91,0.965
1,5,0.833,other,0.819,263,188,541,771,0.00,0.00,0.254,0.00,0.00,0.054,0.00,0.00,0.158,0.00,0.00,0.393,446.77,244.33,0.861,366.54,297.81,0.995,463.12,301.14,0.995,314.70,380.64,0.955,510.61,377.46,0.963,285.70,432.09,0.838,501.01,388.38,0.865,380.88,464.63,0.999,437.47,466.96,0.999,411.69,597.93,0.997,435.68,608.88,0.997,402.69,719.64,0.981,389.89,732.85,0.980
2,5,0.833,near_player,0.808,74,325,304,584,165.26,357.55,0.748,0.00,0.00,0.458,158.80,352.13,0.679,0.00,0.00,0.444,141.79,357.32,0.810,146.49,388.54,0.987,141.25,389.14,0.997,106.84,423.93,0.841,116.57,420.08,0.968,97.29,437.15,0.754,90.44,434.15,0.912,186.85,457.39,0.995,183.85,460.61,0.997,180.00,498.08,0.992,186.50,499.45,0.995,207.54,561.43,0.990,213.75,562.89,0.993
3,5,0.833,other,0.818,1612,192,1761,716,1715.12,253.64,0.831,0.00,0.00,0.277,1710.37,242.95,0.881,0.00,0.00,0.060,1683.90,238.63,0.897,1676.30,284.60,0.872,1660.14,283.80,0.989,1690.14,335.56,0.542,1689.52,344.63,0.977,1734.06,325.99,0.565,1729.09,334.62,0.945,1671.99,438.80,0.968,1660.95,440.58,0.991,1676.73,550.97,0.953,1670.34,554.64,0.986,1639.98,661.90,0.907,1640.91,665.39,0.953
4,5,0.833,other,0.821,1150,253,1286,626,0.00,0.00,0.425,0.00,0.00,0.481,0.00,0.00,0.070,1208.73,290.16,0.962,0.00,0.00,0.226,1216.10,324.00,0.996,1260.42,316.43,0.989,1207.47,384.43,0.970,1281.86,372.13,0.779,1182.99,427.10,0.883,1266.45,418.29,0.582,1228.68,433.80,0.997,1260.27,428.67,0.995,1202.24,512.10,0.993,1253.83,507.40,0.984,1197.15,601.03,0.978,1260.70,591.97,0.962
5,5,0.833,other,0.722,1745,311,1870,523,1824.48,345.37,0.960,1830.39,339.90,0.921,1819.27,338.38,0.957,1836.82,342.23,0.590,1808.07,337.76,0.858,1844.75,369.29,0.995,1786.77,363.49,0.997,1853.27,414.22,0.930,1766.88,407.55,0.967,1838.09,435.54,0.878,1783.61,432.62,0.932,1829.08,433.82,0.990,1787.38,431.92,0.992,1852.60,438.41,0.971,1775.10,438.64,0.976,1852.06,506.98,0.936,1770.79,506.96,0.946
1,10,1.667,other,0.832,276,172,524,787,449.49,234.29,0.533,0.00,0.00,0.095,447.05,220.83,0.530,0.00,0.00,0.241,426.00,222.34,0.942,351.36,276.43,0.989,427.98,273.51,0.998,317.35,371.90,0.867,454.99,353.93,0.984,344.44,427.36,0.724,494.01,381.49,0.933,356.58,437.55,0.999,405.43,438.59,0.999,378.69,585.26,0.997,418.01,591.21,0.998,373.31,732.97,0.986,385.65,746.81,0.991
2,10,1.667,near_player,0.799,76,343,310,583,0.00,0.00,0.169,0.00,0.00,0.217,0.00,0.00,0.036,111.68,378.64,0.899,0.00,0.00,0.257,116.72,400.43,0.991,168.17,393.47,0.961,103.28,433.74,0.948,174.24,429.20,0.544,91.39,443.98,0.799,0.00,0.00,0.354,175.96,461.19,0.993,219.10,459.73,0.983,124.83,504.66,0.985,237.32,502.46,0.959,134.28,565.10,0.976,293.88,557.83,0.950
3,10,1.667,other,0.800,1606,189,1743,713,1702.87,242.83,0.904,0.00,0.00,0.449,1694.26,233.35,0.927,0.00,0.00,0.081,1665.08,235.94,0.891,1677.22,282.36,0.892,1648.57,288.67,0.989,1695.67,330.58,0.598,1688.98,350.83,0.976,1716.33,293.75,0.631,1714.35,305.04,0.948,1665.58,437.10,0.967,1646.82,440.56,0.990,1672.65,546.23,0.955,1666.50,552.51,0.985,1638.15,657.87,0.911,1645.84,663.64,0.953
4,10,1.667,other,0.841,1135,269,1281,625,0.00,0.00,0.275,0.00,0.00,0.325,0.00,0.00,0.049,1158.05,304.00,0.891,0.00,0.00,0.167,1163.41,336.42,0.988,1212.11,325.27,0.963,1155.24,390.75,0.946,1220.32,378.33,0.667,1149.71,414.88,0.836,1206.07,405.35,0.509,1203.73,432.83,0.994,1239.73,428.90,0.988,1184.13,511.52,0.989,1242.29,508.27,0.976,1185.00,595.94,0.974,1255.39,586.15,0.954
5,10,1.667,other,0.735,1754,313,1871,523,1824.12,345.17,0.970,1829.31,339.79,0.939,1818.03,339.20,0.966,1836.61,343.80,0.643,1806.49,341.94,0.881,1845.87,373.09,0.997,1788.83,370.40,0.998,1854.18,417.90,0.940,1775.07,416.43,0.974,1831.72,424.57,0.896,1799.91,424.76,0.945,1835.89,440.55,0.991,1793.90,440.03,0.992,1857.75,436.36,0.971,1778.62,437.37,0.977,1856.49,505.37,0.934,1775.56,505.57,0.946
1,15,2.500,other,0.863,335,179,556,790,0.00,0.00,0.377,0.00,0.00,0.050,0.00,0.00,0.470,0.00,0.00,0.087,477.63,236.01,0.899,407.70,284.32,0.914,465.90,289.64,0.992,406.62,366.93,0.564,497.57,375.65,0.975,0.00,0.00,0.470,533.88,403.04,0.909,407.65,450.97,0.989,452.55,457.39,0.997,420.59,590.53,0.988,495.64,599.65,0.996,386.94,731.54,0.977,485.62,747.31,0.989
2,15,2.500,near_player,0.813,81,309,309,581,0.00,0.00,0.148,0.00,0.00,0.108,0.00,0.00,0.038,205.17,330.36,0.883,227.74,335.16,0.529,178.51,355.28,0.997,241.09,365.25,0.997,133.80,361.30,0.978,262.17,374.39,0.952,115.19,364.82,0.910,257.95,374.87,0.826,186.19,442.29,0.999,230.94,447.88,0.999,160.68,498.60,0.997,248.75,503.27,0.995,167.91,551.15,0.990,279.64,556.76,0.987
3,15,2.500,other,0.814,1607,185,1760,713,1702.99,239.13,0.835,0.00,0.00,0.268,1695.63,230.03,0.876,0.00,0.00,0.059,1667.22,233.59,0.897,1678.41,281.34,0.904,1648.50,285.56,0.991,1703.66,333.55,0.648,1689.29,348.97,0.984,1738.58,314.86,0.672,1727.45,323.89,0.963,1679.42,435.39,0.980,1659.05,439.31,0.994,1689.43,545.22,0.967,1674.13,552.97,0.990,1649.29,656.69,0.923,1644.03,666.02,0.962
4,15,2.500,other,0.829,1142,264,1279,623,0.00,0.00,0.421,1167.61,290.95,0.501,0.00,0.00,0.091,1179.46,288.00,0.879,0.00,0.00,0.129,1190.11,317.67,0.987,1221.51,311.22,0.943,1191.38,374.74,0.956,1224.17,368.42,0.562,1183.21,406.18,0.885,0.00,0.00,0.489,1208.65,422.86,0.994,1234.72,419.42,0.986,1189.73,510.91,0.992,1243.08,508.60,0.978,1182.33,597.34,0.982,1254.16,589.42,0.963
5,15,2.500,other,0.736,1759,316,1872,524,1826.99,346.06,0.964,1831.68,340.83,0.924,1821.09,340.28,0.960,1837.64,344.42,0.596,1809.96,342.68,0.872,1846.28,372.42,0.996,1792.29,369.82,0.998,1857.13,414.20,0.942,1778.05,412.99,0.975,1838.49,415.82,0.902,1799.86,416.15,0.949,1836.77,439.65,0.992,1797.05,439.31,0.993,1857.80,437.26,0.977,1780.95,438.35,0.982,1857.03,506.72,0.947,1775.89,506.98,0.957
1,20,3.334,other,0.903,349,228,613,789,553.80,316.36,0.638,0.00,0.00,0.137,549.67,304.57,0.710,0.00,0.00,0.276,533.43,301.55,0.945,450.45,322.99,0.967,513.49,351.04,0.998,444.84,394.65,0.688,538.00,441.03,0.991,508.80,398.32,0.606,602.23,418.04,0.956,374.94,464.69,0.994,422.25,477.27,0.999,421.02,584.26,0.992,493.99,606.27,0.998,408.44,713.81,0.980,486.99,745.84,0.992
2,20,3.334,near_player,0.727,133,317,313,573,180.69,358.64,0.808,184.66,352.29,0.847,0.00,0.00,0.405,197.99,351.07,0.850,0.00,0.00,0.132,219.98,371.47,0.991,192.15,377.06,0.945,235.17,407.08,0.976,196.46,414.74,0.601,209.13,422.02,0.949,186.56,422.60,0.629,249.82,440.36,0.990,231.90,443.15,0.974,239.78,489.69,0.983,228.88,491.36,0.946,280.74,539.82,0.957,276.62,539.15,0.902
3,20,3.334,other,0.805,1609,182,1757,710,1713.01,235.42,0.908,1712.41,228.16,0.503,1704.08,226.85,0.923,0.00,0.00,0.150,1673.43,231.83,0.913,1697.16,287.36,0.943,1644.38,280.77,0.993,1710.07,338.98,0.712,1656.24,325.50,0.982,1732.07,343.25,0.714,1695.83,308.28,0.961,1674.78,435.88,0.986,1641.50,434.62,0.995,1691.50,547.26,0.957,1666.04,549.02,0.985,1654.17,654.26,0.865,1645.45,662.89,0.926
4,20,3.334,other,0.842,1104,302,1278,625,1107.70,356.08,0.571,1107.96,348.29,0.575,0.00,0.00,0.153,1114.95,344.27,0.867,0.00,0.00,0.263,1134.24,363.62,0.997,1173.28,354.08,0.950,1122.34,416.99,0.989,1185.28,403.89,0.687,1113.65,437.01,0.955,1154.42,423.36,0.603,1202.39,429.34,0.998,1231.08,427.91,0.991,1191.74,503.58,0.995,1234.04,501.19,0.981,1193.38,595.56,0.978,1249.86,589.04,0.951
5,20,3.334,other,0.713,1759,321,1872,522,1831.72,351.07,0.948,1836.02,346.06,0.873,1826.25,345.12,0.952,0.00,0.00,0.430,1814.77,346.59,0.889,1846.13,375.90,0.995,1793.23,372.22,0.998,1855.44,414.88,0.918,1776.47,412.57,0.978,1840.70,416.38,0.873,1799.41,416.71,0.954,1834.02,438.77,0.991,1795.13,438.29,0.994,1858.84,437.17,0.977,1782.21,438.25,0.985,1857.29,503.13,0.953,1775.35,503.87,0.966
1,25,4.167,other,0.894,340,310,639,788,587.74,402.42,0.636,0.00,0.00,0.118,583.21,393.54,0.720,0.00,0.00,0.114,563.56,385.67,0.908,493.00,391.48,0.934,541.67,411.21,0.995,514.23,460.86,0.679,586.72,489.44,0.988,560.10,457.12,0.684,624.80,463.43,0.963,382.51,496.01,0.992,420.14,503.46,0.998,445.98,593.04,0.990,513.14,610.32,0.997,421.06,715.19,0.981,496.27,746.23,0.991
2,25,4.167,near_player,0.819,169,291,303,579,190.69,316.11,0.529,195.54,309.60,0.598,0.00,0.00,0.137,208.10,312.63,0.928,0.00,0.00,0.204,213.36,344.73,0.992,244.36,340.85,0.968,208.10,384.41,0.951,253.77,378.82,0.573,192.71,391.93,0.862,0.00,0.00,0.468,225.90,431.12,0.995,250.05,427.95,0.988,203.06,495.79,0.993,254.29,492.98,0.983,208.78,562.79,0.989,278.76,556.81,0.978
